p/kPa	T/K	x1	y1
98.6586	370.82377	0.005521689	0.059848453
98.6586	368.873575	0.013576588	0.138879737
98.6586	366.873375	0.023091001	0.209186116
98.6586	364.92318	0.034618501	0.269147218
98.6586	362.523	0.051992735	0.330508421
98.6586	359.823	0.07905307	0.401761933
98.6586	358.073	0.107775107	0.452702953
98.6586	357.153	0.1291679	0.479487617
98.6586	356.223	0.157233963	0.503867047
98.6586	355.943	0.166428293	0.515186965
98.6586	355.273	0.198329383	0.529329822
98.6586	355.123	0.20849936	0.530632695
98.6586	353.653	0.317234633	0.578132943
98.6586	352.72304	0.414312092	0.617489791
98.6586	352.1231	0.49032876	0.646742508
98.6586	352.02311	0.498906744	0.654667798
98.6586	351.1232	0.625820226	0.712996552
98.6586	350.42327	0.755196063	0.786431104
