p/kPa	T/K	x1	y1
33.3306	342.774	0.009322947	0.07905307
33.3306	340.324	0.024352405	0.187419629
33.3306	338.174	0.04075443	0.269935436
33.3306	337.624	0.0452058	0.290918707
33.3306	336.324	0.057287511	0.33910681
33.3306	335.774	0.063607116	0.359139121
33.3306	335.524	0.065976788	0.366803393
33.3306	333.924	0.086528507	0.400729533
33.3306	333.574	0.09210974	0.434812294
33.3306	331.92436	0.123011445	0.48911385
33.3306	331.744414	0.129732493	0.495214605
33.3306	331.42451	0.137724492	0.505113869
33.3306	330.774705	0.160275418	0.525438513
33.3306	330.52478	0.167670208	0.529980897
33.3306	330.42481	0.173937451	0.545157938
33.3306	329.575065	0.212290292	0.561419624
33.3306	329.42511	0.219622158	0.56832755
33.3306	329.22517	0.233577713	0.576722458
33.3306	328.42541	0.291745054	0.602620669
33.3306	328.32544	0.29589884	0.607044416
33.3306	327.875575	0.358189266	0.634261578
33.3306	327.82559	0.367769685	0.62811132
33.3306	327.1258	0.503867047	0.675737092
33.3306	327.075815	0.513918165	0.662691155
33.3306	326.92586	0.555949793	0.684024108
33.3306	326.72592	0.607044416	0.719998519
33.3306	326.475995	0.723526707	0.761707011
33.3306	326.42601	0.73242766	0.773010934
