p/kPa	T/K	x1	y1
101.3	368.18	0.018	0.18
101.3	360.5	0.079	0.418
101.3	359.7	0.09	0.441
101.3	357.27	0.147	0.51
101.3	355.38	0.244	0.567
101.3	354.55	0.311	0.589
101.3	354.11	0.353	0.604
101.3	353.45	0.425	0.627
101.3	352.96	0.488	0.652
101.3	352.39	0.57	0.688
101.3	352.11	0.616	0.713
101.3	351.82	0.67	0.736
101.3	351.64	0.711	0.76
101.3	351.37	0.802	0.819
101.3	351.3	0.835	0.844
101.3	351.27	0.869	0.873
101.3	351.26	0.901	0.9
101.3	351.26	0.914	0.912
101.3	351.27	0.922	0.92
101.3	351.29	0.94	0.937
101.3	351.35	0.972	0.969
